,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,3035000000.0,40358000000.0,27048000000.0,-11525000000.0,
Repurchase Of Capital Stock,-22288000000.0,-13576000000.0,-6033000000.0,-21139000000.0,
Repayment Of Debt,-55582000000.0,-22886000000.0,-19587000000.0,-47134000000.0,
Issuance Of Debt,29014000000.0,49071000000.0,53737000000.0,1275000000.0,
Issuance Of Capital Stock,1997000000.0,1722000000.0,0.0,5756000000.0,
Interest Paid Supplemental Data,43619000000.0,30431000000.0,8289000000.0,4384000000.0,
Income Tax Paid Supplemental Data,1664000000.0,,3376000000.0,3166000000.0,1175000000.0
End Cash Position,201902000000.0,236052000000.0,159157000000.0,234230000000.0,
Beginning Cash Position,236052000000.0,159157000000.0,234230000000.0,264612000000.0,
Changes In Cash,-34150000000.0,76895000000.0,-75073000000.0,-30382000000.0,
Financing Cash Flow,-21534000000.0,20494000000.0,-59645000000.0,-11238000000.0,
Cash Flow From Continuing Financing Activities,-21534000000.0,20494000000.0,-59645000000.0,-11238000000.0,
Net Other Financing Charges,-784000000.0,-509000000.0,-539000000.0,-361000000.0,
Cash Dividends Paid,-6232000000.0,-5930000000.0,-5293000000.0,-3627000000.0,
Preferred Stock Dividend Paid,-1099000000.0,-1141000000.0,-1115000000.0,-1205000000.0,
Common Stock Dividend Paid,-5133000000.0,-4789000000.0,-4178000000.0,-2422000000.0,
Net Preferred Stock Issuance,-843000000.0,-3000000.0,0.0,-919000000.0,
Preferred Stock Payments,-2840000000.0,-1725000000.0,0.0,-6675000000.0,
Preferred Stock Issuance,1997000000.0,1722000000.0,0.0,5756000000.0,
Net Common Stock Issuance,-19448000000.0,-11851000000.0,-6033000000.0,-14464000000.0,
Common Stock Payments,-19448000000.0,-11851000000.0,-6033000000.0,-14464000000.0,
Common Stock Issuance,,,,,571000000.0
Net Issuance Payments Of Debt,-7858000000.0,64599000000.0,50714000000.0,-70449000000.0,
Net Short Term Debt Issuance,18710000000.0,38414000000.0,16564000000.0,-24590000000.0,
Net Long Term Debt Issuance,-26568000000.0,26185000000.0,34150000000.0,-45859000000.0,
Long Term Debt Payments,-55582000000.0,-22886000000.0,-19587000000.0,-47134000000.0,
Long Term Debt Issuance,29014000000.0,49071000000.0,53737000000.0,1275000000.0,
Investing Cash Flow,-15651000000.0,16043000000.0,-42476000000.0,-7619000000.0,
Cash Flow From Continuing Investing Activities,-15651000000.0,16043000000.0,-42476000000.0,-7619000000.0,
Net Other Investing Changes,-193000000.0,391000000.0,805000000.0,3782000000.0,
Net Investment Purchase And Sale,-9887000000.0,14052000000.0,19230000000.0,-11247000000.0,
Sale Of Investment,93940000000.0,50139000000.0,68678000000.0,178109000000.0,
Purchase Of Investment,-103827000000.0,-36087000000.0,-49448000000.0,-189356000000.0,
Net Investment Properties Purchase And Sale,,,,,1147000000.0
Sale Of Investment Properties,,,,,1147000000.0
Operating Cash Flow,3035000000.0,40358000000.0,27048000000.0,-11525000000.0,
Cash Flow From Continuing Operating Activities,3035000000.0,40358000000.0,27048000000.0,-11525000000.0,
Change In Working Capital,-20271000000.0,5281000000.0,29407000000.0,33059000000.0,
Change In Other Working Capital,-24285000000.0,7504000000.0,39429000000.0,16850000000.0,
Change In Other Current Assets,3192000000.0,-6838000000.0,-9162000000.0,15477000000.0,
Change In Payables And Accrued Expense,822000000.0,4615000000.0,-860000000.0,732000000.0,
Change In Accrued Expense,822000000.0,4615000000.0,-860000000.0,732000000.0,
Other Non Cash Items,-7905000000.0,3577000000.0,-24016000000.0,-69824000000.0,
Stock Based Compensation,,,,,1766000000.0
Asset Impairment Charge,265000000.0,851000000.0,-1326000000.0,-1188000000.0,
Deferred Tax,-911000000.0,-50000000.0,1239000000.0,-1106000000.0,
Deferred Income Tax,-911000000.0,-50000000.0,1239000000.0,-1106000000.0,
Depreciation Amortization Depletion,7558000000.0,6271000000.0,6832000000.0,7890000000.0,
Depreciation And Amortization,7558000000.0,6271000000.0,6832000000.0,7890000000.0,
Net Income From Continuing Operations,19965000000.0,19029000000.0,13378000000.0,23799000000.0,
