,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-26169000000.0,-79999000000.0,19437000000.0,42971000000.0,
Repurchase Of Capital Stock,-7524000000.0,-6122000000.0,-3250000000.0,-11386000000.0,
Repayment Of Debt,-92957000000.0,-64959000000.0,-57085000000.0,-74950000000.0,
Issuance Of Debt,99075000000.0,65819000000.0,104748000000.0,70658000000.0,
Issuance Of Capital Stock,5282000000.0,2739000000.0,0.0,3300000000.0,
Capital Expenditure,-6500000000.0,-6583000000.0,-5632000000.0,-4119000000.0,
Interest Paid Supplemental Data,88027000000.0,72989000000.0,22615000000.0,7143000000.0,
Income Tax Paid Supplemental Data,5798000000.0,5727000000.0,3733000000.0,4028000000.0,
End Cash Position,276532000000.0,260932000000.0,342025000000.0,262033000000.0,
Beginning Cash Position,260932000000.0,342025000000.0,262033000000.0,309615000000.0,
Effect Of Exchange Rate Changes,-12677000000.0,95000000.0,-3385000000.0,-1198000000.0,
Changes In Cash,28277000000.0,-81188000000.0,83377000000.0,-46384000000.0,
Financing Cash Flow,-38304000000.0,687000000.0,137763000000.0,17272000000.0,
Cash Flow From Continuing Financing Activities,-38304000000.0,687000000.0,137763000000.0,17272000000.0,
Net Other Financing Charges,-454000000.0,-329000000.0,-344000000.0,-337000000.0,
Cash Dividends Paid,-5199000000.0,-5212000000.0,-5003000000.0,-5198000000.0,
Net Preferred Stock Issuance,232000000.0,-1406000000.0,0.0,-485000000.0,
Preferred Stock Payments,-5050000000.0,-4145000000.0,0.0,-3785000000.0,
Preferred Stock Issuance,5282000000.0,2739000000.0,0.0,3300000000.0,
Net Common Stock Issuance,-2474000000.0,-1977000000.0,-3250000000.0,-7601000000.0,
Common Stock Payments,-2474000000.0,-1977000000.0,-3250000000.0,-7601000000.0,
Net Issuance Payments Of Debt,17166000000.0,-8779000000.0,66786000000.0,-5833000000.0,
Net Short Term Debt Issuance,11048000000.0,-9639000000.0,19123000000.0,-1541000000.0,
Net Long Term Debt Issuance,6118000000.0,860000000.0,47663000000.0,-4292000000.0,
Long Term Debt Payments,-92957000000.0,-64959000000.0,-57085000000.0,-74950000000.0,
Long Term Debt Issuance,99075000000.0,65819000000.0,104748000000.0,70658000000.0,
Investing Cash Flow,86250000000.0,-8459000000.0,-79455000000.0,-110746000000.0,
Cash Flow From Continuing Investing Activities,86250000000.0,-8459000000.0,-79455000000.0,-110746000000.0,
Net Other Investing Changes,2512000000.0,835000000.0,-791000000.0,-1551000000.0,
Net Investment Purchase And Sale,34217000000.0,18649000000.0,-28841000000.0,-74435000000.0,
Sale Of Investment,301641000000.0,255161000000.0,232809000000.0,267995000000.0,
Purchase Of Investment,-267424000000.0,-236512000000.0,-261650000000.0,-342430000000.0,
Net Business Purchase And Sale,0.0,-1393000000.0,5741000000.0,0.0,
Sale Of Business,,,5741000000.0,0.0,0.0
Purchase Of Business,0.0,-1393000000.0,,,
Net PPE Purchase And Sale,222000000.0,56000000.0,63000000.0,190000000.0,
Sale Of PPE,222000000.0,56000000.0,63000000.0,190000000.0,
Capital Expenditure Reported,-6500000000.0,-6583000000.0,-5632000000.0,-4119000000.0,
Operating Cash Flow,-19669000000.0,-73416000000.0,25069000000.0,47090000000.0,
Cash Flow From Continuing Operating Activities,-19669000000.0,-73416000000.0,25069000000.0,47090000000.0,
Change In Working Capital,-59031000000.0,-99387000000.0,19553000000.0,38864000000.0,
Change In Other Working Capital,-46537000000.0,-98542000000.0,14781000000.0,37973000000.0,
Change In Other Current Liabilities,-7692000000.0,3587000000.0,5343000000.0,6839000000.0,
Change In Other Current Assets,-4026000000.0,-6361000000.0,-4992000000.0,-2139000000.0,
Change In Receivables,,,,,-3066000000.0
Other Non Cash Items,14051000000.0,6739000000.0,-18125000000.0,-15559000000.0,
Asset Impairment Charge,0.0,0.0,535000000.0,0.0,
Deferred Tax,-1896000000.0,-2416000000.0,-1141000000.0,1413000000.0,
Deferred Income Tax,-1896000000.0,-2416000000.0,-1141000000.0,1413000000.0,
Depreciation Amortization Depletion,4311000000.0,4560000000.0,4262000000.0,3964000000.0,
Depreciation And Amortization,4311000000.0,4560000000.0,4262000000.0,3964000000.0,
Operating Gains Losses,103000000.0,-1327000000.0,-330000000.0,241000000.0,
Gain Loss On Investment Securities,-328000000.0,-188000000.0,-67000000.0,-665000000.0,
Gain Loss On Sale Of Business,0.0,-1462000000.0,-762000000.0,700000000.0,
Net Income From Continuing Operations,12684000000.0,9229000000.0,15076000000.0,21945000000.0,
