,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-15303000000.0,-14903000000.0,4960000000.0,1631000000.0,
Repurchase Of Capital Stock,-10200000000.0,-6796000000.0,-3500000000.0,-7875000000.0,
Repayment Of Debt,-76555000000.0,-57636000000.0,-46213000000.0,-59198000000.0,
Issuance Of Debt,72495000000.0,50200000000.0,86322000000.0,97512000000.0,
Issuance Of Capital Stock,4239000000.0,1496000000.0,0.0,2172000000.0,
Capital Expenditure,-2091000000.0,-2316000000.0,-3748000000.0,-4667000000.0,
Interest Paid Supplemental Data,72623000000.0,60026000000.0,19022000000.0,5521000000.0,
Income Tax Paid Supplemental Data,3673000000.0,2389000000.0,4555000000.0,6195000000.0,
End Cash Position,182092000000.0,241577000000.0,241825000000.0,261036000000.0,
Beginning Cash Position,241577000000.0,241825000000.0,261036000000.0,155842000000.0,
Effect Of Exchange Rate Changes,-3972000000.0,1851000000.0,-11561000000.0,-5377000000.0,
Changes In Cash,-55513000000.0,-2099000000.0,-7650000000.0,110571000000.0,
Financing Cash Flow,7323000000.0,27800000000.0,59602000000.0,134738000000.0,
Cash Flow From Continuing Financing Activities,7323000000.0,27800000000.0,59602000000.0,134738000000.0,
Net Other Financing Charges,1306000000.0,2279000000.0,563000000.0,497000000.0,
Cash Dividends Paid,-4497000000.0,-4189000000.0,-3682000000.0,-2725000000.0,
Common Stock Dividend Paid,,,,,-2336000000.0
Net Preferred Stock Issuance,2039000000.0,496000000.0,0.0,-503000000.0,
Preferred Stock Payments,-2200000000.0,-1000000000.0,0.0,-2675000000.0,
Preferred Stock Issuance,4239000000.0,1496000000.0,0.0,2172000000.0,
Net Common Stock Issuance,-8000000000.0,-5796000000.0,-3500000000.0,-5200000000.0,
Common Stock Payments,-8000000000.0,-5796000000.0,-3500000000.0,-5200000000.0,
Common Stock Issuance,,,,,0.0
Net Issuance Payments Of Debt,10581000000.0,-4713000000.0,38147000000.0,39131000000.0,
Net Short Term Debt Issuance,14641000000.0,2723000000.0,-1962000000.0,817000000.0,
Net Long Term Debt Issuance,-4060000000.0,-7436000000.0,40109000000.0,38314000000.0,
Long Term Debt Payments,-76555000000.0,-57636000000.0,-46213000000.0,-59198000000.0,
Long Term Debt Issuance,72495000000.0,50200000000.0,86322000000.0,97512000000.0,
Investing Cash Flow,-49624000000.0,-17312000000.0,-75960000000.0,-30465000000.0,
Cash Flow From Continuing Investing Activities,-49624000000.0,-17312000000.0,-75960000000.0,-30465000000.0,
Net Investment Purchase And Sale,-35723000000.0,-13408000000.0,-47575000000.0,5789000000.0,
Sale Of Investment,56373000000.0,26848000000.0,12961000000.0,45701000000.0,
Purchase Of Investment,-92096000000.0,-40256000000.0,-60536000000.0,-39912000000.0,
Net Business Purchase And Sale,3622000000.0,487000000.0,-2115000000.0,0.0,
Purchase Of Business,,,-2115000000.0,0.0,-231000000.0
Net PPE Purchase And Sale,-478000000.0,962000000.0,-1042000000.0,-734000000.0,
Sale Of PPE,1613000000.0,3278000000.0,2706000000.0,3933000000.0,
Purchase Of PPE,-2091000000.0,-2316000000.0,-3748000000.0,-4667000000.0,
Operating Cash Flow,-13212000000.0,-12587000000.0,8708000000.0,6298000000.0,
Cash Flow From Continuing Operating Activities,-13212000000.0,-12587000000.0,8708000000.0,6298000000.0,
Change In Working Capital,-33091000000.0,-27712000000.0,-9394000000.0,-20062000000.0,
Change In Other Working Capital,-102210000000.0,-189574000000.0,88441000000.0,55552000000.0,
Stock Based Compensation,2663000000.0,2085000000.0,4083000000.0,2348000000.0,
Deferred Tax,-800000000.0,-1360000000.0,-2412000000.0,5000000.0,
Deferred Income Tax,-800000000.0,-1360000000.0,-2412000000.0,5000000.0,
Depreciation Amortization Depletion,2392000000.0,4856000000.0,2455000000.0,2015000000.0,
Depreciation And Amortization,2392000000.0,4856000000.0,2455000000.0,2015000000.0,
Operating Gains Losses,,,,,-1000000.0
Net Income From Continuing Operations,14276000000.0,8516000000.0,11261000000.0,21635000000.0,
