,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-160702928037.71927,-446681166.006622,-48944000.0,-80514000.0,
Tax Rate For Calcs,0.221228,0.195741,0.184,0.189,
Total Unusual Items,-726414000000.0,-2282000000.0,-266000000.0,-426000000.0,
Total Unusual Items Excluding Goodwill,-726414000000.0,-2282000000.0,-266000000.0,-426000000.0,
Net Income From Continuing Operation Net Minority Interest,58471000000.0,49552000000.0,37676000000.0,48334000000.0,
Reconciled Depreciation,7938000000.0,7512000000.0,7051000000.0,7932000000.0,
Net Interest Income,92583000000.0,89267000000.0,66710000000.0,52311000000.0,
Interest Expense,101350000000.0,81321000000.0,26097000000.0,5553000000.0,
Interest Income,193933000000.0,170588000000.0,92807000000.0,57864000000.0,
Normalized Income,624182071962.2808,51387318833.99338,37893056000.0,48679486000.0,
Net Income From Continuing And Discontinued Operation,58471000000.0,49552000000.0,37676000000.0,48334000000.0,
Diluted Average Shares,2879000000.0,2943100000.0,2970000000.0,3026600000.0,
Basic Average Shares,2873900000.0,2938600000.0,2965800000.0,3021500000.0,
Diluted EPS,19.75,16.23,12.09,15.36,
Basic EPS,19.79,16.25,12.1,15.39,
Diluted NI Availto Com Stockholders,56868000000.0,47760000000.0,35892000000.0,46503000000.0,
Net Income Common Stockholders,56868000000.0,47760000000.0,35892000000.0,46503000000.0,
Otherunder Preferred Stock Dividend,344000000.0,291000000.0,189000000.0,231000000.0,
Preferred Stock Dividends,1259000000.0,1501000000.0,1595000000.0,1600000000.0,
Net Income,58471000000.0,49552000000.0,37676000000.0,48334000000.0,
Net Income Including Noncontrolling Interests,58471000000.0,49552000000.0,37676000000.0,48334000000.0,
Net Income Continuous Operations,58471000000.0,49552000000.0,37676000000.0,48334000000.0,
Tax Provision,16610000000.0,12060000000.0,8490000000.0,11228000000.0,
Pretax Income,75081000000.0,61612000000.0,46166000000.0,59562000000.0,
Special Income Charges,-726414000000.0,-2282000000.0,-266000000.0,-426000000.0,
Other Special Charges,725740000000.0,4336000000.0,266000000.0,426000000.0,
Restructuring And Mergern Acquisition,674000000.0,-2054000000.0,0.0,0.0,
Gain On Sale Of Security,6945000000.0,-3218000000.0,-1520000000.0,-309000000.0,
Selling General And Administration,56331000000.0,51056000000.0,45547000000.0,41603000000.0,
Selling And Marketing Expense,4974000000.0,4591000000.0,3911000000.0,3036000000.0,
General And Administrative Expense,51357000000.0,46465000000.0,41636000000.0,38567000000.0,
Other Gand A,,,,,10338000000.0
Salaries And Wages,51357000000.0,46465000000.0,41636000000.0,38567000000.0,
Total Revenue,177429000000.0,154952000000.0,128641000000.0,121685000000.0,
Operating Revenue,177429000000.0,154952000000.0,128641000000.0,121685000000.0,
Occupancy And Equipment,14857000000.0,13836000000.0,14054000000.0,14457000000.0,
Professional Expense And Contract Services Expense,11057000000.0,10235000000.0,10174000000.0,9814000000.0,
Other Non Interest Expense,-716965000000.0,6649000000.0,6099000000.0,5043000000.0,
