,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Preferred Shares Number,409797847.0,409797858.0,406711800.0,,250320600.0
Ordinary Shares Number,7610862311.0,7895457665.0,7996777943.0,8077831463.0,
Share Issued,7610862311.0,7895457665.0,7996777943.0,8077831463.0,
Net Debt,30184000000.0,,65452000000.0,,
Total Debt,326670000000.0,334302000000.0,302914000000.0,303870000000.0,
Tangible Book Value,203379000000.0,194228000000.0,175778000000.0,176336000000.0,
Invested Capital,599070000000.0,597551000000.0,547714000000.0,549228000000.0,
Net Tangible Assets,226538000000.0,222625000000.0,204175000000.0,201044000000.0,
Common Stock Equity,272400000000.0,263249000000.0,244800000000.0,245358000000.0,
Preferred Stock Equity,23159000000.0,28397000000.0,28397000000.0,24708000000.0,
Total Capitalization,578838000000.0,593850000000.0,549179000000.0,550183000000.0,
Total Equity Gross Minority Interest,295559000000.0,291646000000.0,273197000000.0,270066000000.0,
Stockholders Equity,295559000000.0,291646000000.0,273197000000.0,270066000000.0,
Gains Losses Not Affecting Retained Earnings,-15285000000.0,-17788000000.0,-21156000000.0,-5104000000.0,
Other Equity Adjustments,-15285000000.0,-17788000000.0,-21156000000.0,-5104000000.0,
Retained Earnings,242349000000.0,224672000000.0,207003000000.0,188064000000.0,
Capital Stock,68495000000.0,84762000000.0,87350000000.0,87106000000.0,
Common Stock,45336000000.0,56365000000.0,58953000000.0,62398000000.0,
Preferred Stock,23159000000.0,28397000000.0,28397000000.0,24708000000.0,
Total Liabilities Net Minority Interest,2965960000000.0,2888505000000.0,2778178000000.0,2899429000000.0,
Derivative Product Liabilities,39353000000.0,43432000000.0,44816000000.0,37675000000.0,
Long Term Debt And Capital Lease Obligation,283279000000.0,302204000000.0,275982000000.0,280117000000.0,
Long Term Debt,283279000000.0,302204000000.0,275982000000.0,280117000000.0,
Long Term Provisions,1096000000.0,1209000000.0,1540000000.0,1456000000.0,
Current Debt And Capital Lease Obligation,43391000000.0,32098000000.0,26932000000.0,23753000000.0,
Current Debt,43391000000.0,32098000000.0,26932000000.0,23753000000.0,
Other Current Borrowings,43391000000.0,32098000000.0,26932000000.0,23753000000.0,
Payables And Accrued Expenses,,,222533000000.0,198963000000.0,179921000000.0
Current Accrued Expenses,,,222533000000.0,198963000000.0,179921000000.0
Total Assets,3261519000000.0,3180151000000.0,3051375000000.0,3169495000000.0,
Investments And Advances,1061416000000.0,1017946000000.0,1043422000000.0,1126273000000.0,
Held To Maturity Securities,558677000000.0,594555000000.0,632825000000.0,674554000000.0,
Available For Sale Securities,12175000000.0,10203000000.0,9206000000.0,8895000000.0,
Trading Securities,144132000000.0,146539000000.0,180603000000.0,143646000000.0,
Goodwill And Other Intangible Assets,69021000000.0,69021000000.0,69022000000.0,69022000000.0,
Goodwill,69021000000.0,69021000000.0,69022000000.0,69022000000.0,
Net PPE,12168000000.0,11855000000.0,11510000000.0,10833000000.0,
Receivables,97919000000.0,96697000000.0,81135000000.0,87020000000.0,
Other Receivables,15672000000.0,14816000000.0,13592000000.0,14757000000.0,
Accounts Receivable,82247000000.0,81881000000.0,67543000000.0,72263000000.0,
Other Short Term Investments,346432000000.0,266649000000.0,220788000000.0,299178000000.0,
Cash And Cash Equivalents,296486000000.0,341419000000.0,237462000000.0,355365000000.0,
Cash Financial,26003000000.0,27892000000.0,30334000000.0,29222000000.0,
Cash Cash Equivalents And Federal Funds Sold,571195000000.0,622043000000.0,505036000000.0,606085000000.0,
