,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-8805000000.0,44982000000.0,-6327000000.0,-7193000000.0,
Repurchase Of Capital Stock,-18358000000.0,-4576000000.0,-5727000000.0,-27097000000.0,
Repayment Of Debt,-70411000000.0,-44571000000.0,-34055000000.0,-46826000000.0,
Issuance Of Debt,56683000000.0,65396000000.0,65910000000.0,76675000000.0,
Issuance Of Capital Stock,0.0,0.0,4426000000.0,2169000000.0,
Interest Paid Supplemental Data,89687000000.0,69604000000.0,18526000000.0,4506000000.0,
Income Tax Paid Supplemental Data,3822000000.0,3405000000.0,2288000000.0,2760000000.0,
End Cash Position,290114000000.0,333073000000.0,230203000000.0,348221000000.0,
Beginning Cash Position,333073000000.0,230203000000.0,348221000000.0,380463000000.0,
Effect Of Exchange Rate Changes,-3830000000.0,-70000000.0,-3123000000.0,-3408000000.0,
Changes In Cash,-39129000000.0,102940000000.0,-114895000000.0,-28834000000.0,
Financing Cash Flow,60369000000.0,93345000000.0,-106039000000.0,291650000000.0,
Cash Flow From Continuing Financing Activities,60369000000.0,93345000000.0,-106039000000.0,291650000000.0,
Net Other Financing Charges,-127000000.0,-717000000.0,-312000000.0,-620000000.0,
Cash Dividends Paid,-9503000000.0,-9087000000.0,-8576000000.0,-8055000000.0,
Net Preferred Stock Issuance,-5254000000.0,0.0,3772000000.0,198000000.0,
Preferred Stock Payments,-5254000000.0,0.0,-654000000.0,-1971000000.0,
Preferred Stock Issuance,0.0,0.0,4426000000.0,2169000000.0,
Net Common Stock Issuance,-13104000000.0,-4576000000.0,-5073000000.0,-25126000000.0,
Common Stock Payments,-13104000000.0,-4576000000.0,-5073000000.0,-25126000000.0,
Net Issuance Payments Of Debt,-1154000000.0,25987000000.0,35034000000.0,34281000000.0,
Net Short Term Debt Issuance,12574000000.0,5162000000.0,3179000000.0,4432000000.0,
Net Long Term Debt Issuance,-13728000000.0,20825000000.0,31855000000.0,29849000000.0,
Long Term Debt Payments,-70411000000.0,-44571000000.0,-34055000000.0,-46826000000.0,
Long Term Debt Issuance,56683000000.0,65396000000.0,65910000000.0,76675000000.0,
Investing Cash Flow,-90693000000.0,-35387000000.0,-2529000000.0,-313291000000.0,
Cash Flow From Continuing Investing Activities,-90693000000.0,-35387000000.0,-2529000000.0,-313291000000.0,
Net Other Investing Changes,-4145000000.0,-5258000000.0,-4612000000.0,-3479000000.0,
Net Investment Purchase And Sale,-48456000000.0,-4238000000.0,84103000000.0,-309745000000.0,
Sale Of Investment,342455000000.0,286819000000.0,243161000000.0,291389000000.0,
Purchase Of Investment,-390911000000.0,-291057000000.0,-159058000000.0,-601134000000.0,
Operating Cash Flow,-8805000000.0,44982000000.0,-6327000000.0,-7193000000.0,
Cash Flow From Continuing Operating Activities,-8805000000.0,44982000000.0,-6327000000.0,-7193000000.0,
Change In Working Capital,-48546000000.0,2728000000.0,-51944000000.0,-39920000000.0,
Change In Other Working Capital,-45504000000.0,44391000000.0,-95772000000.0,-22104000000.0,
Change In Other Current Assets,-4492000000.0,-23944000000.0,20799000000.0,-34455000000.0,
Change In Payables And Accrued Expense,1450000000.0,-17719000000.0,23029000000.0,16639000000.0,
Change In Accrued Expense,1450000000.0,-17719000000.0,23029000000.0,16639000000.0,
Other Non Cash Items,3201000000.0,8349000000.0,7927000000.0,-4300000000.0,
Stock Based Compensation,3433000000.0,2942000000.0,2862000000.0,2768000000.0,
Asset Impairment Charge,,,,0.0,0.0
Deferred Tax,-1734000000.0,-2011000000.0,739000000.0,-838000000.0,
Deferred Income Tax,-1734000000.0,-2011000000.0,739000000.0,-838000000.0,
Depreciation Amortization Depletion,2189000000.0,2057000000.0,1978000000.0,1898000000.0,
Depreciation And Amortization,2189000000.0,2057000000.0,1978000000.0,1898000000.0,
Operating Gains Losses,29000000.0,405000000.0,-32000000.0,-22000000.0,
Gain Loss On Investment Securities,29000000.0,405000000.0,-32000000.0,-22000000.0,
Net Income From Continuing Operations,27132000000.0,26515000000.0,27528000000.0,31978000000.0,
